index,critic_score,user_score,rating,year
3146,78.0,6.7,T,1998.0
3147,90.0,9.0,E,1999.0
3148,52.0,,E,2004.0
3151,77.0,8.8,E,2009.0
3159,,,E,2006.0
3160,78.0,,E,2002.0
3164,89.0,7.0,E,2000.0
3165,43.0,7.4,E,2000.0
3172,43.0,7.0,E,2002.0
3173,,7.3,E,2014.0
3174,73.0,,T,2009.0
3176,,,E,2010.0
3189,48.0,6.3,E,2005.0
3194,57.0,8.6,T,2005.0
3200,82.0,7.5,T,2014.0
3206,92.0,9.2,T,1997.0
3215,62.0,8.3,E,2002.0
3216,61.0,7.8,T,2009.0
3217,,,T,2007.0
3223,87.0,8.5,M,2002.0
3225,90.0,8.3,T,2000.0
3227,,2.8,E,2002.0
3228,,,E,2009.0
3230,,7.2,E10+,2015.0
3233,70.0,5.9,T,2011.0
3242,90.0,7.8,E,1999.0
3244,,,E,2000.0
3248,51.0,,E,2000.0
3251,48.0,,E,2008.0
3253,57.0,,E,2006.0
3258,,8.2,T,1998.0
3260,77.0,7.5,E,2013.0
3261,77.0,7.3,E,2011.0
3262,57.0,,E,2000.0
3265,,6.0,E10+,2009.0
3268,74.0,8.6,E,2007.0
3272,81.0,9.3,T,2007.0
3274,,5.5,E,2007.0
3275,73.0,,T,2008.0
3281,,,T,2011.0
3282,84.0,8.4,E,2001.0
3287,,8.0,E,2004.0
3289,86.0,8.7,E10+,2008.0
3295,69.0,7.0,E10+,2010.0
3308,76.0,6.7,E,2002.0
3309,86.0,7.5,M,2014.0
3310,,,E,2008.0
3312,63.0,10.0,T,2000.0
3314,89.0,6.3,E,2001.0
3316,89.0,7.0,E,2000.0
3317,71.0,8.1,E,2002.0
3321,,,T,2010.0
3323,87.0,7.9,T,2015.0
3324,,,E,2004.0
3325,,8.2,E,2009.0
3338,82.0,9.6,T,1999.0
3347,91.0,8.5,E,1998.0
3348,71.0,7.5,E,2000.0
3349,81.0,,E,2001.0
3352,35.0,6.8,E10+,2007.0
3353,52.0,5.5,T,2007.0
3357,,,E,2008.0
3358,,5.0,E,2013.0
3360,,,E,2008.0
3362,,8.9,E,2012.0
3367,78.0,8.8,E10+,2009.0
3368,,,E,2010.0
3374,88.0,7.8,E10+,2005.0
3375,,5.2,M,2014.0
3377,,,E,2010.0
3379,,,E,2008.0
3381,,3.1,E,2014.0
3382,79.0,7.8,E,1996.0
3385,98.0,7.7,T,2000.0
3389,70.0,,E,2000.0
3390,94.0,9.4,M,1998.0
3391,,8.0,T,2008.0
3399,60.0,6.5,E,2008.0
3400,74.0,7.4,E,2006.0
3402,82.0,8.3,E,1997.0
3403,64.0,6.2,T,2000.0
3405,,,E,2007.0
3407,78.0,8.4,T,2006.0
3409,,,E,2010.0
3412,62.0,5.2,M,2010.0
3413,74.0,4.8,E,2005.0
3418,,,E,2003.0
